City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Calatayud,ES,41.3535,-1.6432,55.98,82,0,1.95,clear sky
289,Marsa Matruh,EG,31.3525,27.2453,55.17,59,11,14.81,few clouds
290,Meadow Lake,US,34.8014,-106.5436,52.48,26,100,5.91,overcast clouds
291,Aklavik,CA,68.2191,-135.0107,-8.57,77,75,2.3,broken clouds
292,Paradise,US,36.0972,-115.1467,61.92,20,75,15.99,broken clouds
293,Thompson,CA,55.7435,-97.8558,-14.64,58,20,12.66,few clouds
294,Lasa,IT,46.6166,10.7002,38.66,94,100,8.79,light snow
295,La Tuque,CA,47.4334,-72.7824,21.45,58,100,8.05,overcast clouds
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,86,93,5.66,light rain
297,Doka,SD,13.5167,35.7667,73.69,42,0,8.55,clear sky
298,Quatre Cocos,MU,-20.2078,57.7625,79.09,92,100,30.04,moderate rain
299,Baghdad,IQ,33.3406,44.4009,44.51,100,0,3.44,clear sky
300,Villa Carlos Paz,AR,-31.4241,-64.4978,92.05,23,2,11.01,clear sky
301,San Cristobal,VE,7.7669,-72.225,77.18,31,95,6.08,overcast clouds
302,Cayenne,GF,4.9333,-52.3333,73.44,92,75,8.05,broken clouds
303,Mount Isa,AU,-20.7333,139.5,80.37,89,40,8.05,haze
304,Broken Hill,AU,-31.95,141.4333,58.71,58,100,20.71,overcast clouds
305,Turukhansk,RU,65.8167,87.9833,7.95,94,100,8.61,overcast clouds
306,Kurilsk,RU,45.2333,147.8833,23.23,88,99,17.05,light snow
307,Naze,JP,28.3667,129.4833,55.6,72,100,10.87,overcast clouds
308,Trincomalee,LK,8.5711,81.2335,77.11,65,5,7.29,clear sky
309,San Quintin,MX,30.4833,-115.95,61.56,65,58,12.03,broken clouds
310,San Jeronimo,PE,-11.9472,-75.2829,53.76,78,100,5.5,overcast clouds
311,Bilibino,RU,68.0546,166.4372,5.76,65,100,6.17,overcast clouds
312,Pyaozerskiy,RU,65.8333,31.1667,13.75,95,100,6.91,overcast clouds
313,Yumen,CN,40.2833,97.2,18.01,28,7,5.19,clear sky
314,Chokurdakh,RU,70.6333,147.9167,-18.54,97,100,3.56,overcast clouds
315,Kamina,CD,-8.7386,24.9906,64.63,95,93,1.07,overcast clouds
316,Caravelas,BR,-17.7125,-39.2481,80.01,82,63,8.16,broken clouds
317,Kiunga,PG,-6.1219,141.2906,71.31,98,100,0.6,overcast clouds
318,Parabel,RU,58.6978,81.4825,16.72,95,99,7.94,overcast clouds
319,Port Blair,IN,11.6667,92.75,74.66,73,19,3.71,few clouds
320,Antofagasta,CL,-23.65,-70.4,70.88,67,1,8.88,clear sky
321,Longyearbyen,SJ,78.2186,15.6401,22.84,58,75,4.61,broken clouds
322,Thai Binh,VN,20.45,106.3333,55.4,79,100,6.33,overcast clouds
323,Limanowa,PL,49.7059,20.422,32.29,87,91,6.55,light snow
324,Rocha,UY,-34.4833,-54.3333,72.12,54,0,8.97,clear sky
